Item(s),Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Item 15,Item 16,Item 17,Item 18,Item 19,Item 20,Item 21,Item 22,Item 23,Item 24,Item 25,Item 26,Item 27,Item 28,Item 29,Item 30,Item 31,Item 32
4,Strawberry,bread,Guava,Soups,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,flour,yogurt,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Apples,yogurt,Garlic,Bananas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cauliflower,Milk,Coca Cola,Cookies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Milk,butter,yogurt,rice,Sauces,Sauces,Corn,,,,,,,,,,,,,,,,,,,,,,,,,
1,Buns,,,,,,,,Sauces,,,,,,,,,,,,,,,,,,,,,,,
5,Cauliflower,Milk,Buns,Mixed fruit juice,Garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tumeric Powder,Red Chilli Powder,,,,,,,,Bananas,,,,,,,,,,,,,,,,,,,,,,
2,Milk,Cherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,flour,Cauliflower,bread,bottled water,Chocolate,,,,,Green Chilli,,,,,,,,,,,,,,,,,,,,,,
9,Strawberry,flour,Milk,butter,curd,yogurt,flour,bottled water,Cherry,Bananas,,,,,,,,,,,,,,,,,,,,,,
1,Green Chilli,,,,,,,,,Mixed fruit juice,,,,,Bananas,,,,,,,,,,,,,,,,,
3,bread,Buns,soda,,,,,,,Apples juice,,,,,,,Corn,,,,,,,,,,,,,,,
2,Cabbage,flour,,,,,,,,Tonic water,,,,,,Coca Cola,,,Corn,,,,,,,,,,,,,
4,butter,sugar,mixed fruit juice,Paneer,,,,,,Oranges,,,,,,Pepsi,,,,,,,,,,,,,,,,
1,mixed fruit juice,Cabbage,,,,,,,,,,,,Chocolate,,Beetroot,,,,,,,,,,,,,,,,
1,packaged fruit/vegetables,Strawberry,,,,,,,,,,,,Frozen Meals,,Pepsi,,,,,,,,,,,,,,,,
1,Chocolate,Coconut Juice,,,,,,,,,,,,Beans,,Coffee,,,,,,,,,,,,,,,,
1,Coffee,Instant Noodles,,,,,,,,,,,,Guava,Paneer,Apples,Bottleguard,Ladyfinger,,,,,,,,,,,,,,
1,Cauliflower,Red Chilli Powder,,,,,,,,,,,,Carrot,,Coca Cola,Guava,,,,,,,,,,,,,,,
2,butter milk,pastry,Guava,,,,,,,,,Milk,,Tomato,Tomato,,Corn,,,,,,,,,,,,,,,
1,Milk,Brocolli,Blueberry,,,,,,,,,,,Mango,Guava,,Ginger,,,,,,,,,,,,,,,
5,flour,Garlic,Potato,Brocolli,Paneer,,,,,Tomato,,Cherry,Potato,Garlic,Pepsi,Cookies,,,,,,,,,,,,,,,,
11,flour,Red Chilli Powder,Cauliflower,ice cream,Buns,flour,spread cheese,Chips,waffles,Chocolate,Coconut Juice,,,,,,,,,,,,,,,,,,,,,
2,bottled water,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,yogurt,Red Chilli Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Pepsi,Buns,soda,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cauliflower,Red Chilli Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,bread,soda,mixed fruit juice,Tonic water,Paneer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
4,yogurt,Tea,bottled water,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Buns,Cauliflower,Buns,spices,bottled water,Sanitizer,napkins,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tumeric Powder,Cauliflower,Milk,Tea,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Carrot,berries,Cauliflower,Milk,sour cream,Corn,soda,Sauces,,,,,,,,,,,,,,,,,,,,,,,,
3,Green Chilli,grapes,Brocolli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Red Chilli Powder,Cauliflower,Milk,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Strawberry,Ladyfinger,Paneer,Red Chilli Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Pepsi,Buns,soda,Tonic water,Coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
13,flour,Tumeric Powder,Milk,yogurt,Potato,bread,pastry,sugar,Cherry,Coffee,soda,waffles,Chocolate,,,,,,,,,,,,,,,,,,,
2,berries,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tonic water,Red Chilli Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,butter milk,yogurt,Garlic,spread cheese,Buns,bottled water,soda,Paneer,,,,,,,,,,,,,,,,,,,,,,,,
1,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pastry,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Red Chilli Powder,Cauliflower,butter,curd,sour cream,Milk,cheese,Buns,bottled water,Cookies,,,,,,,,,,,,,,,,,,,,,,
4,Pepsi,Buns,pet food,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Mango,grapes,Cauliflower,Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Bottleguard,flour,Cauliflower,curd,Potato,bread,Cabbage,Ghee,baking powder,mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,
5,Milk,yogurt,Potato,pickled vegetables,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Milk,curd,yogurt,pastry,apples,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,packaged fruit/vegetables,bread,Tonic water,Red Chilli Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Buns,oil,bottled water,chewing gum,Chocolate ,Sanitizer,napkins,,,,,,,,,,,,,,,,,,,,,,,,,
6,Mango,Green Chilli,sour cream,ice cream,Buns,pet food,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Buns,pastry,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cauliflower,Milk,frozen vegetables,Oranges,Chips,Rice,Brocolli,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pepsi,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pepsi,Green Chilli,Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,bread,flour,Buns,bread,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Buns,pastry,soda,Red Chilli Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Milk,pastry,Chocolate ,Nuts,sugar,coffee,bread,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ginger,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Red Bull Drink,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pepsi,Milk,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,flour,Apples,berries,Milk,Frozen Meals,Buns,pickled vegetables,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,
1,Red Bull Drink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Milk,butter,Ghee,Corn,Chocolate,lemon,Coca Cola,,,,,,,,,,,,,,,,,,,,,,,,,
8,bread,Strawberry,Milk,Potato,oil,Pepsi,Chocolate,Paneer,,,,,,,,,,,,,,,,,,,,,,,,
3,Milk,Bananas,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Frozen Meals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cauliflower,Milk,Buns,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Strawberry,Milk,curd,butter milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,flour,salt,bottled water,mixed fruit juice,Mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,sugar,bottled water,soda,Mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,frozen meals,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Red Chilli Powder,Milk,frozen vegetables,Potato,Buns,oil,Ghee,Ginger,mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,
4,Red Chilli Powder,Onions,cheese,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,herbs,Coca Cola,frozen vegetables,salt,oil,Spices,lemon,,,,,,,,,,,,,,,,,,,,,,,,,
1,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Pepsi,Red Chilli Powder,Onions,yogurt,Buns,Apples juice,Brocolli,,,,,,,,,,,,,,,,,,,,,,,,,
2,Coffee,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Carrot,Cauliflower,sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,berries,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,mixed fruit juice,Chips,lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Strawberry,butter milk,yogurt,Garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Carrot,Buns,Strawberry,berries,Onions,sour cream,rice,Coffee,Chocolate,,,,,,,,,,,,,,,,,,,,,,,
1,Brocolli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,grapes,Nuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Pepsi,cheese,Buns,bread,mixed fruit juice,Tonic water,Red Bull Drink,waffles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
10,Cabbage,Buns,Strawberry,flour,Red Chilli Powder,Cauliflower,butter,pasta,oil,Brocolli,,,,,,,,,,,,,,,,,,,,,,
3,Milk,yogurt,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Strawberry,flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,soda,Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Pepsi,Carrot,grapes,Milk,Buns,pastry,soda,Coffee,Coconut Juice,,,,,,,,,,,,,,,,,,,,,,,
3,bread,Buns,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Pepsi,Milk,yogurt,Coffee,mixed fruit juice,Mixed fruit juice,Beetroot,napkins,Nuts,shopping bags,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Buns,mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Green Chilli,Strawberry,berries,Tumeric Powder,bread,Brocolli,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Milk,sour cream,Buns,soda,waffles,Chocolate,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
1,Potato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,flour,Apples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,bread,Pepsi,Tumeric Powder,Cauliflower,Buns,oil,pickled vegetables,Mixed fruit juice,chewing gum,Cherry,,,,,,,,,,,,,,,,,,,,,,
2,packaged fruit/vegetables,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Milk,ice cream,frozen vegetables,Buns,Ghee,bottled water,Red Bull Drink,Paneer,,,,,,,,,,,,,,,,,,,,,,,,
2,berries,sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Strawberry,berries,Milk,Potato,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,flour,Milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Buns,Milk,frozen vegetables,Buns,Mixed fruit juice,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Buns,Cauliflower,Milk,frozen vegetables,Potato,soda,Cherry,,,,,,,,,,,,,,,,,,,,,,,,,
3,Milk,Garlic,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Dragon Fruit,Cauliflower,pastry,Ghee,Coffee,Cookies,Frozen Meals,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
4,bread,Pepsi,Cookies,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,packaged fruit/vegetables,ice cream,bread,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cauliflower,Red Bull Drink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,bread,Pepsi,Strawberry,flour,Apples,Milk,cheese,Garlic,Potato,rice,sugar,Brocolli,Tea,mixed fruit juice,Sanitizer,,,,,,,,,,,,,,,,,
1,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pepsi,butter milk,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ginger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bread,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Milk,yogurt,Tea,bread,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,berries,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,curd,flour,Garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,flour,Cauliflower,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Buns,Instant Noodles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,bread,Pepsi,Milk,Buns,Ghee,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cauliflower,Tea,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Milk,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Strawberry,butter,Garlic,bread,oil,Ghee,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,
2,bread,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,bread,Mango,Apples,Cauliflower,Milk,cheese,frozen vegetables,Buns,sugar,baking powder,,,,,,,,,,,,,,,,,,,,,,
5,butter milk,yogurt,Ginger,soda,Brocolli,,,,,,,,,,,,,,,,,,,,,,,,,,,
