item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12
Tamarind,Banana,Spinach,Cooking Oil,Dals,Curd,,,,,,
Tea Powder,Spinach,Paneer,Honey,Jam,Onions,Fenugreek Leaves,Semolina,Cooking Oil,,,
Ginger,Bell Peppers,Tamarind,Cumin Seeds,Banana,Fenugreek Leaves,Lassi,Onions,Turmeric Powder,Lemon,,
Bell Peppers,Cheese,Biscuits,Capsicum,Salt,Chili Powder,Tea Powder,Green Chili,,,,
Carrot,Bread,Pomegranate,Brinjal,Salt,,,,,,,
Turmeric Powder,Tomato,Wheat Flour,Cooking Oil,Pomegranate,Sugar,Beetroot,Cumin Seeds,Curd,Rice,Potato,
Coriander,Rice,Ginger,Banana,Onions,Garlic,Jam,Dals,Pomegranate,Papaya,Bread,Sugar
Pickle,Yogurt,Cumin Seeds,Coriander,Fenugreek Leaves,Orange,Besan,Tamarind,Mint Leaves,Lemon,Rice,Guava
Dals,Coffee Powder,Brinjal,Banana,Curd,Capsicum,Semolina,,,,,
Honey,Salt,Tomato,Cheese,Green Chili,Turmeric Powder,,,,,,
Potato,Mustard Seeds,Cumin Seeds,Carrot,Rice,Okra,Sugar,Curd,Lassi,,,
Cauliflower,Garlic,Lassi,Okra,Cooking Oil,Apple,Guava,Semolina,Chili Powder,Coffee Powder,Turmeric Powder,
Semolina,Coffee Powder,Ginger,Dals,Cabbage,Chili Powder,Sooji,Potato,,,,
Jam,Mango,Ginger,Lemon,Spinach,Pomegranate,Sooji,Banana,,,,
Mint Leaves,Cauliflower,Wheat Flour,Paneer,Turmeric Powder,Butter,,,,,,
Besan,Cabbage,Paneer,Salt,Cauliflower,Wheat Flour,Beetroot,Tomato,Dals,,,
Turmeric Powder,Tamarind,Mango,Curd,Milk,Lemon,Apple,Tomato,Yogurt,,,
Onions,Cooking Oil,Cabbage,Rice,Biscuits,,,,,,,
Semolina,Apple,Paneer,Cheese,Cooking Oil,Capsicum,Guava,Dals,Sooji,Coconut,Curd,
Besan,Lemon,Ginger,Sooji,Green Chili,Pickle,Carrot,Beetroot,Potato,Cooking Oil,Lassi,
Turmeric Powder,Curd,Spinach,Chili Powder,Tomato,,,,,,,
Cooking Oil,Mustard Seeds,Orange,Curd,Bell Peppers,Yogurt,Besan,Okra,Papaya,,,
Dals,Besan,Honey,Salt,Brinjal,Paneer,Guava,Ginger,,,,
Coconut,Cheese,Sugar,Brinjal,Lemon,Mango,,,,,,
Papaya,Biscuits,Guava,Bread,Green Chili,Potato,Sugar,Jam,Wheat Flour,Rice,,
Bread,Carrot,Fenugreek Leaves,Salt,Jam,Tea Powder,Yogurt,Beetroot,Coconut,Coffee Powder,Turmeric Powder,Brinjal
Besan,Brinjal,Okra,Tamarind,Mint Leaves,Cabbage,Carrot,Guava,,,,
Beetroot,Papaya,Curd,Milk,Capsicum,Brinjal,Fenugreek Leaves,Garlic,,,,
Cabbage,Lassi,Fenugreek Leaves,Milk,Mint Leaves,Beetroot,Paneer,Chili Powder,Lemon,Cheese,Potato,
Mustard Seeds,Lassi,Ginger,Cheese,Green Chili,Lemon,Pickle,Rice,Carrot,Turmeric Powder,Orange,
Jam,Fenugreek Leaves,Yogurt,Sooji,Cabbage,Carrot,Coffee Powder,Rice,,,,
Sooji,Apple,Banana,Okra,Cheese,Chili Powder,Ginger,,,,,
Tomato,Bell Peppers,Cabbage,Cheese,Green Chili,Capsicum,Spinach,,,,,
Potato,Sugar,Lassi,Tomato,Salt,Lemon,Tea Powder,Cauliflower,,,,
Butter,Brinjal,Bell Peppers,Cumin Seeds,Sooji,Orange,Papaya,Banana,Besan,Coconut,,
Cabbage,Mango,Milk,Tea Powder,Chili Powder,Coconut,,,,,,
Pomegranate,Tea Powder,Cooking Oil,Papaya,Spinach,,,,,,,
Apple,Carrot,Spinach,Tea Powder,Mango,Yogurt,Garlic,Coffee Powder,Bread,Semolina,,
Cabbage,Papaya,Beetroot,Apple,Besan,Bell Peppers,Capsicum,Fenugreek Leaves,Yogurt,Bread,Mango,
Mint Leaves,Tea Powder,Papaya,Capsicum,Milk,Chili Powder,Jam,Cumin Seeds,,,,
Carrot,Guava,Mint Leaves,Sugar,Bell Peppers,Semolina,Capsicum,Coffee Powder,Okra,,,
Okra,Tea Powder,Capsicum,Bell Peppers,Cheese,Mustard Seeds,,,,,,
Mango,Biscuits,Sooji,Garlic,Fenugreek Leaves,Brinjal,,,,,,
Chili Powder,Okra,Paneer,Honey,Beetroot,Pickle,Sugar,Tea Powder,Mustard Seeds,,,
Mint Leaves,Cumin Seeds,Honey,Jam,Beetroot,Cabbage,Yogurt,Cooking Oil,Orange,,,
Cheese,Cauliflower,Semolina,Coffee Powder,Curd,Dals,Mint Leaves,,,,,
Spinach,Wheat Flour,Coffee Powder,Dals,Onions,Coconut,Semolina,Honey,Papaya,Mint Leaves,Bell Peppers,Curd
Jam,Coriander,Banana,Papaya,Curd,Cumin Seeds,Cooking Oil,Brinjal,Ginger,Capsicum,Tea Powder,Mint Leaves
Honey,Carrot,Onions,Rice,Bell Peppers,Pomegranate,Apple,Curd,Guava,,,
Apple,Tomato,Mango,Sooji,Honey,Bell Peppers,Biscuits,Rice,,,,
Tamarind,Cauliflower,Papaya,Sooji,Turmeric Powder,Banana,Besan,Biscuits,Paneer,,,
Beetroot,Cooking Oil,Honey,Cabbage,Papaya,Semolina,Milk,Carrot,Garlic,Green Chili,,
Lemon,Wheat Flour,Papaya,Cooking Oil,Butter,Green Chili,Tomato,,,,,
Okra,Capsicum,Beetroot,Cabbage,Fenugreek Leaves,Green Chili,,,,,,
Pickle,Bell Peppers,Beetroot,Carrot,Rice,Mustard Seeds,Butter,Mint Leaves,Tea Powder,Cabbage,,
Cheese,Cabbage,Jam,Cumin Seeds,Sugar,,,,,,,
Mint Leaves,Cabbage,Spinach,Guava,Jam,Besan,Onions,Sooji,Cauliflower,Orange,Coconut,Bread
Onions,Coffee Powder,Papaya,Paneer,Chili Powder,Wheat Flour,Besan,Coconut,,,,
Honey,Bell Peppers,Garlic,Beetroot,Fenugreek Leaves,Dals,Lassi,Curd,Bread,Mint Leaves,Coriander,Papaya
Paneer,Pickle,Cheese,Butter,Lemon,Fenugreek Leaves,Coriander,Biscuits,Yogurt,Green Chili,Wheat Flour,Garlic
Pickle,Cumin Seeds,Garlic,Biscuits,Milk,Cabbage,Tamarind,Paneer,,,,
Wheat Flour,Beetroot,Fenugreek Leaves,Curd,Okra,Coffee Powder,,,,,,
Carrot,Brinjal,Pickle,Turmeric Powder,Papaya,,,,,,,
Orange,Apple,Papaya,Cabbage,Tomato,Cumin Seeds,Pickle,Dals,,,,
Turmeric Powder,Cauliflower,Apple,Sooji,Dals,Lemon,Papaya,Honey,Bell Peppers,,,
Fenugreek Leaves,Jam,Brinjal,Semolina,Coriander,Lassi,Pomegranate,Salt,Capsicum,Tamarind,Cheese,
Potato,Green Chili,Brinjal,Lassi,Wheat Flour,Curd,Cooking Oil,Pomegranate,Rice,,,
Rice,Pomegranate,Papaya,Butter,Banana,Biscuits,Ginger,,,,,
Paneer,Tomato,Cooking Oil,Tamarind,Besan,Beetroot,,,,,,
Tomato,Milk,Dals,Lassi,Yogurt,Biscuits,Mango,Semolina,Pomegranate,Guava,Lemon,Bread
Cauliflower,Papaya,Cheese,Paneer,Tamarind,Cumin Seeds,,,,,,
Tamarind,Paneer,Milk,Butter,Semolina,Beetroot,Bread,Bell Peppers,Jam,Coriander,Spinach,
Cabbage,Banana,Garlic,Spinach,Dals,,,,,,,
Cabbage,Pickle,Coffee Powder,Garlic,Lassi,Banana,Mango,Cheese,Beetroot,,,
Jam,Cauliflower,Carrot,Milk,Tamarind,Tea Powder,Honey,Pomegranate,Banana,,,
Curd,Potato,Bell Peppers,Dals,Pomegranate,Onions,Turmeric Powder,,,,,
Coffee Powder,Turmeric Powder,Semolina,Bell Peppers,Onions,Spinach,Curd,Yogurt,,,,
Potato,Chili Powder,Biscuits,Tomato,Banana,Guava,Curd,Cooking Oil,Papaya,,,
Dals,Cabbage,Brinjal,Semolina,Sooji,Cumin Seeds,Wheat Flour,Chili Powder,Mango,Pomegranate,,
Capsicum,Butter,Besan,Rice,Onions,Orange,Milk,Biscuits,Guava,Spinach,Pomegranate,
Mango,Potato,Apple,Wheat Flour,Cauliflower,Orange,,,,,,
Curd,Sugar,Tomato,Turmeric Powder,Onions,Brinjal,Semolina,,,,,
Fenugreek Leaves,Butter,Dals,Ginger,Tomato,Bread,Wheat Flour,Jam,Besan,Green Chili,,
Green Chili,Fenugreek Leaves,Dals,Lassi,Orange,Bread,Cheese,,,,,
Papaya,Mint Leaves,Fenugreek Leaves,Apple,Rice,Paneer,Pickle,Okra,Carrot,Orange,Chili Powder,
Cooking Oil,Capsicum,Coriander,Mustard Seeds,Guava,,,,,,,
Mustard Seeds,Besan,Guava,Milk,Pickle,,,,,,,
Cauliflower,Cabbage,Wheat Flour,Rice,Banana,Bread,Brinjal,,,,,
Tomato,Yogurt,Semolina,Beetroot,Spinach,Curd,Rice,Tea Powder,Ginger,Banana,,
Fenugreek Leaves,Potato,Cumin Seeds,Okra,Apple,Rice,,,,,,
Green Chili,Pickle,Paneer,Honey,Wheat Flour,Cooking Oil,,,,,,
Garlic,Carrot,Cooking Oil,Turmeric Powder,Onions,Okra,Beetroot,,,,,
Cheese,Pomegranate,Onions,Brinjal,Green Chili,Lemon,Garlic,Yogurt,Capsicum,,,
Bread,Banana,Besan,Chili Powder,Garlic,Wheat Flour,Cumin Seeds,Milk,Biscuits,Tomato,,
Turmeric Powder,Mint Leaves,Guava,Cumin Seeds,Carrot,Honey,Coriander,,,,,
Orange,Pickle,Brinjal,Curd,Bell Peppers,,,,,,,
Turmeric Powder,Coconut,Lassi,Orange,Fenugreek Leaves,Wheat Flour,,,,,,
Lemon,Guava,Spinach,Papaya,Potato,Pomegranate,Banana,Sugar,Coriander,Mango,Besan,Paneer
Sugar,Banana,Chili Powder,Cumin Seeds,Pomegranate,Tomato,Dals,,,,,
Okra,Lemon,Brinjal,Turmeric Powder,Cooking Oil,Tomato,Sooji,Chili Powder,Onions,Rice,Bread,Pomegranate
Okra,Beetroot,Cauliflower,Curd,Butter,Cumin Seeds,Onions,Potato,Garlic,,,
Biscuits,Besan,Wheat Flour,Spinach,Tomato,Honey,Cooking Oil,Butter,Onions,,,
Honey,Green Chili,Lemon,Capsicum,Bread,Semolina,Pomegranate,Cheese,Coriander,,,
Papaya,Dals,Sugar,Tomato,Honey,Cumin Seeds,,,,,,
Coriander,Banana,Papaya,Wheat Flour,Pickle,Apple,Dals,Orange,Tamarind,Pomegranate,Onions,
Coffee Powder,Mustard Seeds,Carrot,Coriander,Biscuits,Coconut,Chili Powder,,,,,
Dals,Lassi,Ginger,Lemon,Cabbage,Green Chili,Mustard Seeds,,,,,
Mango,Green Chili,Wheat Flour,Banana,Curd,Bell Peppers,Tea Powder,Apple,,,,
Garlic,Sooji,Lassi,Besan,Coconut,Ginger,Milk,Cumin Seeds,Guava,,,
Butter,Mango,Bell Peppers,Turmeric Powder,Wheat Flour,Garlic,Green Chili,Banana,Besan,,,
Jam,Mint Leaves,Biscuits,Cauliflower,Cheese,Tomato,Guava,Paneer,Tea Powder,Sugar,,
Ginger,Butter,Curd,Dals,Turmeric Powder,Banana,Milk,Semolina,,,,
Biscuits,Butter,Mango,Sooji,Mustard Seeds,Onions,Bread,Coconut,Milk,,,
Fenugreek Leaves,Pickle,Garlic,Pomegranate,Cheese,,,,,,,
Banana,Brinjal,Lemon,Biscuits,Cauliflower,,,,,,,
Coffee Powder,Milk,Onions,Cabbage,Green Chili,Honey,Rice,Salt,Tomato,Garlic,,
Potato,Curd,Butter,Rice,Apple,Tomato,Lemon,Semolina,Turmeric Powder,,,
Pomegranate,Cheese,Potato,Besan,Banana,Cabbage,Milk,Mango,Mustard Seeds,Fenugreek Leaves,Apple,Butter
Green Chili,Biscuits,Jam,Mint Leaves,Sugar,,,,,,,
Mustard Seeds,Sugar,Honey,Tea Powder,Curd,Turmeric Powder,Ginger,Tomato,Cooking Oil,Mango,Milk,
Orange,Coffee Powder,Tea Powder,Onions,Pickle,Bell Peppers,Beetroot,Potato,Sooji,Ginger,Chili Powder,Okra
Papaya,Cooking Oil,Pickle,Cheese,Pomegranate,Jam,Tamarind,Ginger,Carrot,Potato,Orange,Semolina
Sooji,Cooking Oil,Jam,Orange,Banana,Papaya,Fenugreek Leaves,Beetroot,Brinjal,Chili Powder,Spinach,Cumin Seeds
Cabbage,Dals,Cauliflower,Biscuits,Papaya,Coriander,Pomegranate,Potato,Tamarind,Apple,Wheat Flour,
Beetroot,Coffee Powder,Mustard Seeds,Turmeric Powder,Orange,Banana,Lassi,,,,,
Potato,Mustard Seeds,Turmeric Powder,Okra,Chili Powder,Bread,Cooking Oil,Curd,Spinach,Garlic,Tamarind,Rice
Yogurt,Tea Powder,Rice,Beetroot,Mustard Seeds,Guava,,,,,,
Capsicum,Cauliflower,Milk,Paneer,Potato,Garlic,Biscuits,Wheat Flour,Carrot,,,
Apple,Semolina,Bread,Okra,Spinach,Tea Powder,Jam,Capsicum,Lemon,Potato,Onions,
Spinach,Coffee Powder,Banana,Beetroot,Cauliflower,Cumin Seeds,Dals,,,,,
Garlic,Mango,Dals,Capsicum,Cooking Oil,Onions,Fenugreek Leaves,Paneer,,,,
Rice,Garlic,Green Chili,Pomegranate,Ginger,Apple,Coriander,Banana,Yogurt,,,
Milk,Paneer,Coffee Powder,Orange,Mustard Seeds,Honey,Brinjal,,,,,
Guava,Fenugreek Leaves,Capsicum,Paneer,Tomato,Mustard Seeds,,,,,,
Yogurt,Guava,Honey,Capsicum,Chili Powder,Lassi,Jam,Cauliflower,Brinjal,Pickle,Sooji,Dals
Coffee Powder,Bell Peppers,Beetroot,Capsicum,Semolina,Mango,,,,,,
Ginger,Beetroot,Sugar,Bell Peppers,Biscuits,Tea Powder,Guava,Rice,Besan,,,
Banana,Salt,Cheese,Curd,Coffee Powder,Beetroot,Orange,Spinach,,,,
Mustard Seeds,Coffee Powder,Garlic,Mango,Rice,Apple,Pomegranate,Coriander,Potato,,,
Pomegranate,Honey,Potato,Coffee Powder,Milk,Carrot,Banana,Chili Powder,Capsicum,Sooji,Apple,
Ginger,Honey,Beetroot,Okra,Bell Peppers,Coriander,Pomegranate,Potato,Cooking Oil,Cumin Seeds,Sooji,Butter
Turmeric Powder,Lemon,Curd,Wheat Flour,Sooji,,,,,,,
Dals,Orange,Pomegranate,Salt,Capsicum,Brinjal,Banana,Coconut,Sugar,Semolina,,
Turmeric Powder,Fenugreek Leaves,Dals,Tomato,Chili Powder,Rice,Spinach,,,,,
Banana,Lassi,Beetroot,Brinjal,Yogurt,Jam,Cumin Seeds,Potato,Turmeric Powder,Mustard Seeds,,
Coconut,Guava,Garlic,Curd,Okra,Cauliflower,Banana,Tea Powder,Tamarind,Butter,Cabbage,
Cabbage,Salt,Mango,Spinach,Rice,Okra,Potato,Papaya,Pickle,Besan,Lassi,Green Chili
Paneer,Tea Powder,Mint Leaves,Chili Powder,Biscuits,Tamarind,Yogurt,,,,,
Beetroot,Lemon,Coconut,Jam,Apple,Papaya,Yogurt,,,,,
Honey,Bread,Tomato,Green Chili,Capsicum,Yogurt,Brinjal,,,,,
Milk,Apple,Green Chili,Fenugreek Leaves,Turmeric Powder,Onions,Yogurt,Semolina,Rice,Mango,Cauliflower,Sugar
Jam,Banana,Beetroot,Cauliflower,Milk,Sooji,Chili Powder,Yogurt,,,,
Orange,Garlic,Turmeric Powder,Coriander,Butter,Onions,Biscuits,Chili Powder,Lemon,Bread,Coffee Powder,Rice
Okra,Cooking Oil,Biscuits,Cheese,Onions,Apple,Dals,Brinjal,,,,
Salt,Carrot,Sugar,Cabbage,Coconut,,,,,,,
Dals,Curd,Rice,Cauliflower,Sugar,Mustard Seeds,,,,,,
Sugar,Bell Peppers,Butter,Pomegranate,Tamarind,Cheese,Coffee Powder,Guava,Okra,,,
Turmeric Powder,Cabbage,Coconut,Fenugreek Leaves,Jam,Capsicum,Garlic,Cumin Seeds,Pickle,Apple,,
Chili Powder,Dals,Tomato,Lemon,Lassi,Fenugreek Leaves,Semolina,Pickle,,,,
Cumin Seeds,Milk,Paneer,Tamarind,Curd,Mint Leaves,Cheese,Carrot,,,,
Apple,Sugar,Besan,Papaya,Honey,Sooji,Cooking Oil,Fenugreek Leaves,,,,
Yogurt,Brinjal,Milk,Onions,Okra,Lassi,,,,,,
Rice,Honey,Guava,Turmeric Powder,Bell Peppers,,,,,,,
Chili Powder,Mustard Seeds,Cumin Seeds,Rice,Paneer,Beetroot,Papaya,Honey,Apple,,,
Potato,Jam,Mint Leaves,Tamarind,Pomegranate,Semolina,Garlic,Coconut,Green Chili,Turmeric Powder,Cooking Oil,
Pickle,Coriander,Apple,Mint Leaves,Sooji,Butter,Besan,Cooking Oil,Cheese,Curd,,
Cauliflower,Cumin Seeds,Brinjal,Pomegranate,Mango,Lemon,Cabbage,Honey,Orange,Ginger,,
Coriander,Bread,Rice,Pomegranate,Brinjal,Jam,Mint Leaves,Tomato,Lemon,Green Chili,Mango,
Fenugreek Leaves,Cabbage,Turmeric Powder,Milk,Bread,Tomato,Paneer,Butter,Chili Powder,Garlic,Curd,Yogurt
Lemon,Jam,Coconut,Mint Leaves,Guava,Beetroot,Mango,Potato,Cauliflower,Cabbage,Paneer,Fenugreek Leaves
Lassi,Mint Leaves,Pomegranate,Pickle,Cooking Oil,Honey,,,,,,
Biscuits,Dals,Mustard Seeds,Pomegranate,Carrot,,,,,,,
Orange,Cheese,Tea Powder,Coffee Powder,Mustard Seeds,,,,,,,
Sugar,Mint Leaves,Semolina,Mango,Pickle,Salt,Coconut,Pomegranate,Chili Powder,,,
Bread,Tea Powder,Semolina,Biscuits,Okra,Capsicum,Cheese,,,,,
Butter,Coconut,Cheese,Fenugreek Leaves,Green Chili,Paneer,Garlic,Mango,Sooji,Sugar,Okra,
Green Chili,Capsicum,Orange,Coconut,Cabbage,,,,,,,
Jam,Dals,Guava,Cabbage,Okra,,,,,,,
Ginger,Okra,Cauliflower,Spinach,Sugar,Carrot,Potato,Dals,,,,
Bell Peppers,Coffee Powder,Tamarind,Honey,Ginger,Tea Powder,Salt,Papaya,Potato,Green Chili,Fenugreek Leaves,Guava
Fenugreek Leaves,Biscuits,Tea Powder,Honey,Milk,Apple,Pomegranate,Pickle,Cabbage,,,
Spinach,Fenugreek Leaves,Pickle,Papaya,Honey,Coffee Powder,Cauliflower,Besan,Green Chili,Tomato,,
Mustard Seeds,Banana,Butter,Ginger,Cooking Oil,Pomegranate,Spinach,Curd,Guava,,,
Milk,Semolina,Garlic,Tamarind,Mint Leaves,Pomegranate,Cheese,Orange,Biscuits,,,
Semolina,Tea Powder,Mango,Apple,Green Chili,Spinach,Cheese,,,,,
Sooji,Yogurt,Green Chili,Guava,Mustard Seeds,Honey,Coffee Powder,Mango,Besan,Potato,Coconut,
